
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
West,5,8,False,True,True,True,1,1,5,9,22,10,24,13,0,1,19,25,191,5,9,390,North
North,5,9,False,False,True,True,1,1,3,1,22,11,25,13,0,0,19,25,390,5,9,389,West
West,4,9,False,False,True,True,1,1,3,1,23,11,25,14,0,0,21,27,389,4,9,388,East
East,5,9,False,False,True,True,1,1,3,1,22,11,25,15,0,0,19,25,388,5,9,387,East
East,6,9,False,False,True,True,1,1,3,1,22,10,24,15,0,0,17,23,387,6,9,386,East
East,7,9,False,False,True,True,1,1,3,1,22,11,23,15,0,0,17,21,386,7,9,485,East
East,8,9,False,False,True,True,1,1,3,1,22,12,23,14,0,0,17,21,385,8,9,384,East
East,9,9,False,False,True,True,1,1,3,1,23,12,23,15,0,0,17,19,384,9,9,483,East
East,10,9,False,False,True,True,1,1,3,1,22,12,22,15,0,0,15,17,383,10,9,382,East
East,11,9,False,False,True,True,1,1,3,1,22,13,22,14,0,0,15,17,382,11,9,481,East
East,12,9,False,False,True,True,1,1,3,1,21,13,23,14,0,0,13,15,381,12,9,380,East
East,13,9,False,False,True,True,1,1,3,1,21,12,22,14,0,0,11,15,380,13,9,479,East
East,14,9,False,False,True,True,1,1,3,1,22,12,23,14,0,0,11,14,379,14,9,378,East
East,15,9,False,False,True,True,1,1,3,1,22,13,23,14,0,0,11,12,378,15,9,477,East
East,16,9,False,False,True,True,1,1,3,1,23,13,22,14,0,0,11,12,377,16,9,376,East
East,17,9,False,False,True,True,1,1,3,1,24,13,23,14,0,0,11,11,376,17,10,375,North
North,17,10,False,False,True,True,1,1,3,1,24,14,23,14,0,0,11,9,375,17,11,374,North
North,17,11,False,False,True,True,1,1,3,1,25,14,23,13,0,0,11,9,374,17,12,373,North
North,17,12,False,False,True,True,1,1,3,1,25,13,23,14,0,0,9,7,373,17,13,372,North
North,17,13,False,False,True,True,1,1,3,1,25,14,23,13,0,0,9,7,372,17,13,371,East
