@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
4,11,True,True,True,True,10,4,9,9,20,11,20,8,13,7,16,18,East
5,11,True,True,True,True,10,4,9,10,20,12,20,9,12,5,16,18,East
6,11,True,True,True,True,10,4,9,11,20,12,21,9,11,3,15,16,East
7,11,True,True,True,True,9,4,9,10,19,12,20,9,9,3,13,16,East
8,11,True,True,True,True,9,5,9,11,20,12,21,9,7,1,13,14,South
8,10,True,True,True,True,10,5,10,11,21,12,21,10,7,3,15,14,East
9,10,True,True,True,True,10,6,10,12,20,12,21,9,5,3,13,14,North
9,11,True,True,True,True,10,6,10,11,20,12,21,8,6,1,12,14,East
10,11,True,False,True,True,10,6,3,1,19,12,21,9,5,0,10,13,South
10,10,True,False,True,True,11,6,3,1,20,12,21,9,5,0,12,12,South
10,9,True,False,True,True,10,6,3,1,21,12,21,9,3,0,14,11,South
10,8,True,False,True,True,10,5,3,1,21,12,21,9,3,0,15,12,South
10,7,True,False,True,True,11,5,3,1,22,12,21,9,3,0,17,12,South
10,6,True,False,True,True,12,5,3,1,22,11,21,8,3,0,17,14,East
10,5,True,False,True,True,11,5,3,1,23,11,21,9,1,0,19,16,East
11,5,False,False,True,True,1,1,3,1,23,11,22,9,0,0,18,14,East
12,5,False,False,True,True,1,1,3,1,22,11,22,8,0,0,16,14,East
13,5,False,False,True,True,1,1,3,1,22,10,23,8,0,0,14,14,East
14,5,False,False,True,True,1,1,3,1,22,11,23,9,0,0,14,14,East
15,5,False,False,True,True,1,1,3,1,22,12,23,10,0,0,14,13,East
16,5,False,False,True,True,1,1,3,1,22,11,23,10,0,0,12,12,East
17,5,False,False,True,True,1,1,3,1,23,11,23,10,0,0,12,12,East
18,5,False,False,True,True,1,1,3,1,23,12,23,11,0,0,12,12,East
19,5,False,False,True,True,1,1,3,1,22,12,23,12,0,0,10,10,East
20,5,False,False,True,True,1,1,3,1,21,12,23,11,0,0,8,9,East
21,5,False,False,True,True,1,1,3,1,20,12,23,11,0,0,8,8,East
22,5,False,False,True,True,1,1,3,1,20,11,23,11,0,0,8,6,East
23,5,False,False,True,True,1,1,3,1,19,11,23,10,0,0,10,6,North
23,6,False,False,True,True,1,1,3,1,20,11,23,11,0,0,8,6,North
23,7,False,False,True,True,1,1,3,1,20,10,23,12,0,0,6,6,North
23,8,False,False,True,True,1,1,3,1,20,10,22,12,0,0,5,6,North
23,9,False,False,True,True,1,1,3,1,20,9,21,12,0,0,3,4,North
23,10,False,False,True,True,1,1,3,1,21,9,22,12,0,0,3,2,West
22,10,False,False,True,True,1,1,3,1,22,9,22,11,0,0,1,2,West
21,10,False,False,True,True,1,1,3,1,22,8,21,11,0,0,3,2,South
21,9,False,False,True,True,1,1,3,1,22,7,22,11,0,0,3,2,East
22,9,False,False,True,True,1,1,3,1,22,6,22,10,0,0,3,2,South
22,8,False,False,True,True,1,1,3,1,22,5,23,10,0,0,3,2,South
22,7,False,False,True,True,1,1,3,1,22,6,22,10,0,0,1,3,South
22,6,False,False,False,True,1,1,3,1,5,1,22,10,0,0,0,5,North
22,7,False,False,False,True,1,1,3,1,5,1,23,10,0,0,0,3,North
22,8,False,False,False,True,1,1,3,1,5,1,22,10,0,0,0,3,North
22,9,False,False,False,True,1,1,3,1,5,1,23,10,0,0,0,3,North
22,10,False,False,False,True,1,1,3,1,5,1,23,11,0,0,0,1,East
22,11,False,False,False,True,1,1,3,1,5,1,23,10,0,0,0,2,North
22,12,False,False,False,True,1,1,3,1,5,1,23,10,0,0,0,2,East
23,12,False,False,False,True,1,1,3,1,5,1,22,10,0,0,0,4,South
23,11,False,False,False,True,1,1,3,1,5,1,21,10,0,0,0,4,West
22,11,False,False,False,True,1,1,3,1,5,1,20,10,0,0,0,2,West
