@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
North,10,13,13,13,14,13,17,13,2,5,6,9,North
North,10,13,13,13,14,13,17,13,3,6,7,10,North
North,5,8,5,12,12,6,14,12,10,8,5,2,North
North,3,9,8,9,5,1,7,1,5,4,0,0,North
North,1,1,3,1,24,14,23,14,0,0,11,9,North
North,1,1,3,1,25,14,23,13,0,0,11,9,North
North,1,1,3,1,25,13,23,14,0,0,9,7,North
North,1,9,2,6,1,9,2,7,5,3,5,5,North
North,2,9,2,9,1,9,3,7,3,3,4,3,North
North,4,9,2,9,1,10,7,1,2,2,4,0,North
North,1,1,3,1,20,11,23,11,0,0,8,6,North
North,1,1,3,1,20,10,23,12,0,0,6,6,North
North,1,1,3,1,20,10,22,12,0,0,5,6,North
North,1,1,3,1,20,9,21,12,0,0,3,4,North
North,1,1,3,1,5,1,23,10,0,0,0,3,North
North,1,1,3,1,5,1,22,10,0,0,0,3,North
North,1,1,3,1,5,1,23,10,0,0,0,3,North
North,1,1,3,1,5,1,23,10,0,0,0,2,North
North,11,13,13,13,15,13,17,13,12,12,14,16,North
North,11,13,13,15,15,15,16,13,11,15,17,17,North
North,10,13,14,15,14,15,17,13,9,15,15,16,North
North,10,13,16,15,17,15,16,13,8,12,13,11,North
North,10,13,17,15,18,15,17,13,7,12,13,10,North
North,11,13,16,15,16,15,14,13,6,13,13,10,North
North,10,13,15,15,16,15,15,13,4,11,12,10,North
North,11,13,15,16,15,15,16,13,4,11,10,8,North
North,11,13,15,17,15,15,15,13,3,11,9,8,North
North,12,13,15,18,15,15,16,13,5,11,8,8,North
North,1,1,16,18,6,1,7,1,0,3,0,0,North
North,2,1,17,18,6,1,6,1,0,3,0,0,North
North,1,3,17,21,6,1,10,1,33,3,0,0,North
North,2,3,17,21,5,1,11,1,33,2,0,0,North
North,4,5,5,11,13,8,13,13,14,7,4,4,North
North,3,5,5,12,14,8,14,13,16,7,6,3,North
North,1,9,10,13,5,1,7,1,3,16,0,0,North
North,1,8,9,13,5,1,7,1,1,14,0,0,North
North,1,1,7,13,5,1,7,1,0,5,0,0,North
North,1,1,8,13,5,1,7,1,0,5,0,0,North
North,1,1,8,13,5,1,7,1,0,4,0,0,North
