@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,0,1,0.461538,0.826087,0.086957,0,South
0,0,0,1,0.461538,0.913043,0.086957,0,East
0,1,0,0,0.461538,1,0.043478,0,East
0,1,0,0,0.461538,1,0,0,North
0,0,1,0,0.423077,0.913043,0,0,West
1,0,0,0,0.346154,0.913043,0,0,West
1,0,0,0,0.307692,0.913043,0,0,West
1,0,0,0,0.307692,0.826087,0,0,North
0,0,1,0,0.307692,0.782609,0,0,North
0,0,1,0,0.307692,0.782609,0,0,South
1,0,0,0,0.269231,0.695652,0,0,South
0,0,0,1,0.269231,0.695652,0,0,South
0,0,0,1,0.269231,0.73913,0,0,West
1,0,0,0,0.192308,0.73913,0,0,West
1,0,0,0,0.115385,0.695652,0,0,West
1,0,0,0,0.115385,0.652174,0,0,South
0,0,0,1,0.115385,0.695652,0,0,North
1,0,0,0,0.076923,0.695652,0,0,North
0,0,1,0,0.038462,0.695652,0,0,West
1,0,0,0,0,0.695652,0,0,North
0,0,1,0,0,0.695652,0,0,North
0,0,1,0,0,0.608696,0,0,North
0,0,1,0,0,0.565217,0,0,North
0,0,1,0,0,0.478261,0,0,North
0,0,1,0,0,0.391304,0,0,North
0,0,1,0,0,0.391304,0,0,North
0,0,1,0,0,0.347826,0,0,North
0,0,1,0,0,0.347826,0,0,North
0,0,1,0,0,0.347826,0,0,South
1,0,0,0,0,0.347826,0,0,South
0,0,0,1,0,0.26087,0,0,South
0,0,0,1,0,0.26087,0,0,West
1,0,0,0,0,0.26087,0,0,West
1,0,0,0,0,0.173913,0,0,West
1,0,0,0,0,0.173913,0,0,North
0,0,1,0,0,0.173913,0,0,South
1,0,0,0,0,0.086957,0,0,South
0,0,0,1,0,0.043478,0,0,West
1,0,0,0,0.346154,0.173913,0.565217,0.62069,South
0,0,0,1,0.269231,0.173913,0.565217,0.62069,North
1,0,0,0,0.269231,0.086957,0.652174,0.655172,North
0,0,1,0,0.307692,0.043478,0.73913,0.586207,West
1,0,0,0,0.230769,0,0.73913,0.586207,South
0,0,0,1,0.192308,0,0.73913,0.62069,South
0,0,0,1,0.153846,0,0.652174,0.689655,South
0,0,0,1,0.076923,0,0.652174,0.724138,West
1,0,0,0,0.038462,0,0.695652,0.724138,West
1,0,0,0,0,0,0.695652,0.724138,East
0,1,0,0,0,0,0.695652,0.724138,East
0,1,0,0,0,0,0.608696,0.724138,East
0,1,0,0,0,0,0.608696,0.655172,East
0,1,0,0,0,0,0.608696,0.586207,South
0,0,0,1,0,0,0.608696,0.62069,North
0,1,0,0,0,0,0.608696,0.586207,North
0,0,1,0,0,0,0.608696,0.517241,East
0,1,0,0,0,0,0.608696,0.517241,North
0,0,1,0,0,0,0.521739,0.482759,East
0,1,0,0,0,0,0.478261,0.482759,East
0,1,0,0,0,0,0.478261,0.448276,North
0,0,1,0,0,0,0.434783,0.37931,East
0,1,0,0,0,0,0.347826,0.344828,East
0,1,0,0,0,0,0.347826,0.275862,North
0,0,1,0,0,0,0.347826,0.275862,East
0,1,0,0,0,0,0.347826,0.206897,East
0,1,0,0,0,0,0.347826,0.206897,South
0,0,0,1,0,0,0.304348,0.206897,East
0,1,0,0,0,0,0.217391,0.172414,East
0,1,0,0,0,0,0.217391,0.137931,North
0,0,1,0,0,0,0.217391,0.137931,East
0,1,0,0,0,0,0.130435,0.137931,East
0,1,0,0,0,0,0.130435,0.103448,South
0,0,0,1,0,0,0.043478,0.103448,East
0,1,0,0,0,0,0,0.103448,South
0,0,0,1,0,0,0,0.068966,East
