@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
South,6,7,True,False,True,True,5,5,3,1,24,10,22,15,3,0,21,24,South
South,6,6,True,False,True,True,5,5,3,1,24,9,22,15,2,0,21,24,South
South,6,5,False,False,True,True,1,1,3,1,24,8,22,14,0,0,21,26,North
South,6,4,False,False,True,True,1,1,3,1,25,8,23,14,0,0,23,26,North
East,7,4,False,False,True,True,1,1,3,1,25,9,22,14,0,0,23,25,East
East,8,4,False,False,True,True,1,1,3,1,25,9,22,14,0,0,22,23,North
North,8,5,False,False,True,True,1,1,3,1,25,10,22,13,0,0,22,22,North
North,8,6,False,False,True,True,1,1,3,1,25,10,22,13,0,0,21,21,North
North,8,7,False,False,True,True,1,1,3,1,25,10,22,13,0,0,20,20,North
North,8,8,False,False,True,True,1,1,3,1,25,10,22,13,0,0,19,19,North
North,8,9,False,False,True,True,1,1,3,1,25,11,22,13,0,0,19,17,North
North,8,10,False,False,True,True,1,1,3,1,24,11,21,13,0,0,17,15,North
North,8,11,False,False,True,True,1,1,3,1,24,10,21,12,0,0,17,14,North
North,8,12,False,False,True,True,1,1,3,1,25,10,21,12,0,0,19,12,East
East,9,12,False,False,True,True,1,1,3,1,25,10,20,12,0,0,18,12,East
East,10,12,False,False,True,True,1,1,3,1,25,10,20,13,0,0,17,10,East
East,11,12,False,False,True,True,1,1,3,1,24,10,20,12,0,0,15,10,East
East,12,12,False,False,True,True,1,1,3,1,24,9,20,11,0,0,15,8,South
South,12,11,False,False,True,True,1,1,3,1,25,9,20,12,0,0,15,10,North
East,13,11,False,False,True,True,1,1,3,1,25,10,20,13,0,0,13,10,North
North,13,12,False,False,True,True,1,1,3,1,25,10,21,13,0,0,14,10,East
East,14,12,False,False,True,True,1,1,3,1,25,10,22,13,0,0,13,8,North
North,14,13,False,False,True,True,1,1,3,1,24,10,22,12,0,0,13,9,South
East,15,13,False,False,True,True,1,1,3,1,23,10,22,12,0,0,11,7,South
South,15,12,False,False,True,True,1,1,3,1,23,9,21,12,0,0,11,6,South
South,15,11,False,False,True,True,1,1,3,1,23,9,21,12,0,0,10,8,North
East,16,11,False,False,True,True,1,1,3,1,22,9,21,13,0,0,8,8,South
South,16,10,False,False,True,True,1,1,3,1,22,10,21,14,0,0,6,8,East
East,17,10,False,False,True,True,1,1,3,1,22,10,21,13,0,0,5,6,East
East,18,10,False,False,True,True,1,1,3,1,22,11,21,12,0,0,5,5,South
